ONS ID,Leave
S14000034,28.2%
E14000639,28.1%
S14000025,27.9%
E14000887,27.8%
S14000022,27.6%
E14000793,27.3%
S14000018,26.9%
E14000750,26.7%
E14000617,26.2%
E14000553,26.1%
N06000004,25.9%
E14000598,25.9%
S14000021,25.7%
E14000998,25.6%
E14000752,25.0%
E14000809,24.9%
E14000789,24.4%
E14001002,23.8%
E14000727,23.7%
E14000673,22.9%
E14000721,22.8%
E14001008,22.4%
S14000024,22.2%
E14000549,22.0%
S14000023,21.8%
N06000008,21.7%
S14000031,21.6%
E14000763,21.6%
E14000602,20.7%
E14000978,20.5%
E14000720,20.5%
