,index,county_fips,county_name,state,DEMOCRAT_2000,DEMOCRAT_2004,DEMOCRAT_2008,DEMOCRAT_2012,DEMOCRAT_2016,DEMOCRAT_2020,GREEN_2000,GREEN_2020,LIBERTARIAN_2020,OTHER_2000,OTHER_2004,OTHER_2008,OTHER_2012,OTHER_2016,OTHER_2020,REPUBLICAN_2000,REPUBLICAN_2004,REPUBLICAN_2008,REPUBLICAN_2012,REPUBLICAN_2016,REPUBLICAN_2020
1213,1213,24021.0,FREDERICK,MARYLAND,39.06001703512541,39.26973775771915,48.57895778245462,47.08705118900226,44.97402070386785,10.668543762661814,2.608662488399588,0.09422106239055042,0.3134292483604024,0.6788624604314717,1.1501680020677176,1.8014857985717627,2.707595098834479,7.664886972158788,0.17717954881021872,57.652458016043525,59.580094240213135,49.61955641897361,50.20535371216326,47.36109232397336,8.746626377777016
1214,1214,24023.0,GARRETT,MARYLAND,26.95448146410136,26.361743031079783,29.024238657551276,23.744014592992325,18.321318963671402,4.203446287873935,1.9052088221492256,0.08199346614566652,0.27160335660752033,0.6194274988268419,0.8651073373918615,1.810130515848353,2.204149882191989,4.767682535150953,0.06661969124335405,70.52088221492258,72.77314963152836,69.16563082660038,74.05183552481569,76.91099850117764,15.376337198129523
1215,1215,24025.0,HARFORD,MARYLAND,39.01054427721386,35.204208359946065,39.378725820187356,39.481874335074714,35.21829552935544,8.515649251616212,2.513563178158908,0.07787510291120618,0.33376972183607084,0.6551890094504725,1.3111205734156555,2.426700190599781,2.6311192975213173,6.534651983960741,0.1499466886210573,57.820703535176754,63.48467106663828,58.19457398921286,57.88700636740397,58.24705248668383,10.922759235015453
1216,1216,24027.0,HOWARD,MARYLAND,51.92101366389132,53.99970106867947,59.986366734833,59.69185150351386,63.25612079436227,14.140892156755635,3.2302112982026796,0.08576329331046313,0.26996318187280816,0.6836379113132764,1.3668634631193484,1.87285258859901,2.5844501920213183,7.467646569210755,0.21664791163649472,44.16513712659272,44.633435468201185,38.140780676568,37.72369830446482,29.276232636426975,5.286733456424599
1217,1217,24029.0,KENT,MARYLAND,44.860853432282006,46.07431340872375,49.4311377245509,48.88933764135703,45.65412633469714,9.874004076338707,3.339517625231911,0.1259959236612933,0.216787103946637,0.40816326530612246,1.1523963381798599,1.6167664670658684,1.938610662358643,5.688055084322921,0.15749490457661663,51.39146567717996,52.77329025309639,48.952095808383234,49.17205169628433,48.65781858097994,9.625717991476744
1218,1218,24031.0,MONTGOMERY,MARYLAND,62.539818342265555,65.97290625564453,71.58477533858002,70.92229688240145,74.72482265652897,15.721761222161229,3.3590000215234284,0.11582353304867699,0.15914026038748985,0.5838229913260584,1.1933289180564755,1.4135104186349345,2.026132037404165,5.916391193489715,0.21036341460215874,33.51735864488496,32.833764826298996,27.00171424278504,27.051571080194392,19.35878614998131,3.7929115698004474
1219,1219,24033.0,PRINCE GEORGE'S,MARYLAND,79.48210614580613,81.80636409879614,88.86975771737794,89.73394817198977,88.13069149685568,17.851172753056925,1.6538621377004805,0.1576537877628838,0.08520554071389061,0.4803077500193079,0.7567336737064878,0.7478089758465989,1.0501774366592391,3.464528606375757,0.15996045709712725,18.38372396647408,17.436902227497377,10.382433306775466,9.215874391350996,8.404779896768574,1.7460074613691727
1220,1220,24035.0,QUEEN ANNE'S,MARYLAND,37.330708191635345,32.44012113425713,35.662299854439595,34.378013500482155,30.06070203219847,7.070980521624298,2.660939084780144,0.10828656322218555,0.2713766919775503,0.525028339597876,1.0782784252546573,1.5928467456851736,2.0451623272259725,5.870376654224635,0.17497523935292175,59.483324383986634,66.48160044048821,62.74485339987523,63.576824172291865,64.0689213135769,12.374380983823043
1221,1221,24037.0,ST MARY'S,MARYLAND,,,,,,8.313302793496812,,0.07185843887541543,0.3995329201473098,,,,,,0.13976466361268303,,,,,,11.07554118386778
1222,1222,24037.0,ST. MARY'S,MARYLAND,40.37829226127928,36.33294651334529,42.835911639532526,41.21570759451322,35.17916616508166,,1.9253584624250024,,,0.5593030744720517,1.094524738896508,1.533472944673377,2.75175644028103,7.313109425785481,,57.13704620182367,62.572528747758206,55.6306154157941,56.03253596520575,57.507724409132855,
