GEO_ID,manu_arg
0500000US18167,16.5
0500000US18169,29.0
0500000US18171,34.3
0500000US18173,18.1
0500000US18175,28.9
0500000US18177,21.7
0500000US18179,27.0
0500000US18181,30.4
0500000US18183,29.8
0500000US19001,25.2
0500000US19003,28.4
0500000US19005,24.5
0500000US19007,28.4
0500000US19009,24.1
0500000US19011,22.0
0500000US19013,19.6
0500000US19015,15.1
0500000US19017,25.0
0500000US19019,27.6
0500000US19021,35.4
0500000US19023,26.2
0500000US19025,21.5
0500000US19027,19.8
0500000US19029,23.0
0500000US19031,21.0
0500000US19033,19.4
0500000US19035,24.6
0500000US19037,35.9
0500000US19039,25.8
0500000US19041,21.9
0500000US19043,31.3
0500000US19045,24.3
0500000US19047,34.1
0500000US19049,9.9
0500000US19051,27.1
0500000US19053,16.9
0500000US19055,31.5
0500000US19057,21.5
0500000US19059,22.5
0500000US19061,18.4
0500000US19063,29.2
0500000US19065,22.3
0500000US19067,27.7
0500000US19069,31.3
0500000US19071,25.4
0500000US19073,25.7
0500000US19075,23.7
0500000US19077,14.5
0500000US19079,23.6
0500000US19081,36.1
0500000US19083,22.8
0500000US19085,19.5
0500000US19087,25.3
0500000US19089,33.9
0500000US19091,29.7
0500000US19093,31.7
0500000US19095,27.3
0500000US19097,24.7
0500000US19099,21.3
0500000US19101,20.6
0500000US19103,9.1
0500000US19105,24.1
0500000US19107,26.4
0500000US19109,30.4
0500000US19111,25.4
0500000US19113,17.7
0500000US19115,39.8
0500000US19117,14.0
0500000US19119,28.9
0500000US19121,14.8
0500000US19123,30.2
0500000US19125,27.5
0500000US19127,31.1
0500000US19129,14.2
0500000US19131,30.9
0500000US19133,18.7
0500000US19135,26.8
0500000US19137,24.9
0500000US19139,32.2
0500000US19141,29.2
0500000US19143,34.7
0500000US19145,25.7
0500000US19147,24.0
0500000US19149,26.0
0500000US19151,31.1
0500000US19153,10.0
0500000US19155,13.2
0500000US19157,24.8
0500000US19159,24.8
0500000US19161,23.7
0500000US19163,18.4
0500000US19165,17.9
0500000US19167,26.2
0500000US19169,12.7
0500000US19171,24.3
0500000US19173,32.9
0500000US19175,31.1
0500000US19177,27.7
0500000US19179,26.5
0500000US19181,7.6
0500000US19183,19.2
0500000US19185,26.8
0500000US19187,17.9
0500000US19189,36.3
0500000US19191,20.7
0500000US19193,20.6
0500000US19195,25.2
0500000US19197,27.7
0500000US20001,27.6
0500000US20003,19.7
0500000US20005,24.7
0500000US20007,24.0
0500000US20009,17.5
0500000US20011,17.2
0500000US20013,24.1
0500000US20015,19.2
0500000US20017,22.2
0500000US20019,24.7
0500000US20021,20.3
0500000US20023,23.7
0500000US20025,29.2
0500000US20027,19.5
0500000US20029,17.5
0500000US20031,12.5
0500000US20033,20.5
0500000US20035,26.1
0500000US20037,17.2
0500000US20039,21.9
0500000US20041,20.3
0500000US20043,25.8
0500000US20045,7.9
0500000US20047,33.9
0500000US20049,20.1
0500000US20051,13.4
0500000US20053,21.1
0500000US20055,26.0
0500000US20057,33.9
0500000US20059,15.7
0500000US20061,8.9
0500000US20063,29.8
0500000US20065,22.1
0500000US20067,26.9
0500000US20069,25.7
0500000US20071,25.5
0500000US20073,22.8
0500000US20075,40.8
0500000US20077,24.1
0500000US20079,23.0
0500000US20081,30.1
0500000US20083,30.4
0500000US20085,14.8
0500000US20087,12.4
0500000US20089,22.1
0500000US20091,9.0
0500000US20093,36.7
0500000US20095,32.7
0500000US20097,16.4
0500000US20099,24.5
0500000US20101,25.8
0500000US20103,9.2
0500000US20105,27.1
0500000US20107,14.4
0500000US20109,21.6
0500000US20111,20.0
0500000US20113,27.7
0500000US20115,26.0
0500000US20117,27.7
0500000US20119,25.0
0500000US20121,11.5
0500000US20123,20.0
0500000US20125,26.1
0500000US20127,24.2
0500000US20129,27.5
0500000US20131,28.0
0500000US20133,22.6
0500000US20135,29.8
0500000US20137,23.1
0500000US20139,11.0
0500000US20141,24.2
0500000US20143,21.8
0500000US20145,17.3
0500000US20147,22.7
0500000US20149,14.9
0500000US20151,18.1
0500000US20153,31.9
0500000US20155,18.3
0500000US20157,28.5
0500000US20159,23.0
0500000US20161,7.2
0500000US20163,26.9
0500000US20165,21.8
0500000US20167,23.5
0500000US20169,21.5
0500000US20171,36.2
0500000US20173,19.5
0500000US20175,36.5
0500000US20177,9.8
0500000US20179,32.7
0500000US20181,14.2
0500000US20183,24.7
0500000US20185,25.3
0500000US20187,30.9
0500000US20189,36.3
0500000US20191,25.2
0500000US20193,15.4
0500000US20195,20.7
0500000US20197,22.9
0500000US20199,26.9
0500000US20201,31.4
0500000US20203,43.5
0500000US20205,26.4
0500000US20207,27.0
0500000US20209,12.5
0500000US21001,23.0
0500000US21003,27.8
0500000US21005,19.8
0500000US21007,18.8
0500000US21009,27.0
0500000US21011,26.8
0500000US21013,18.2
0500000US21015,15.1
0500000US21017,27.6
0500000US21019,10.2
0500000US21021,18.3
0500000US21023,18.7
0500000US21025,8.8
0500000US21027,24.7
0500000US21029,17.6
0500000US21031,30.9
0500000US21033,29.3
0500000US21035,13.9
0500000US21037,11.5
0500000US21039,19.4
0500000US21041,31.4
0500000US21043,13.3
0500000US21045,23.9
0500000US21047,22.8
0500000US21049,17.8
0500000US21051,15.5
0500000US21053,29.5
0500000US21055,24.7
