GEO_ID,median_income
0500000US13005,25621
0500000US13007,31865
0500000US13009,20558
0500000US13011,25333
0500000US13013,29205
0500000US13015,30116
0500000US13017,25430
0500000US13019,25702
0500000US13021,25443
0500000US13023,27468
0500000US13025,24883
0500000US13027,26338
0500000US13029,34079
0500000US13031,19066
0500000US13033,25779
0500000US13035,26678
0500000US13037,21429
0500000US13039,28517
0500000US13043,21179
0500000US13045,26583
0500000US13047,29884
0500000US13049,22422
0500000US13051,26994
0500000US13053,22996
0500000US13055,27480
0500000US13057,36720
0500000US13059,16849
0500000US13061,18949
0500000US13063,25925
0500000US13065,26725
0500000US13067,36158
0500000US13069,24924
0500000US13071,21095
0500000US13073,37557
0500000US13075,24540
0500000US13077,35896
0500000US13079,29635
0500000US13081,21649
0500000US13083,25909
0500000US13085,30701
0500000US13087,26610
0500000US13089,31907
0500000US13091,26617
0500000US13093,20878
0500000US13095,23842
0500000US13097,31074
0500000US13099,24909
0500000US13101,24208
0500000US13103,32964
0500000US13105,25135
0500000US13107,23146
0500000US13109,26506
0500000US13111,25724
0500000US13113,41675
0500000US13115,26040
0500000US13117,43815
0500000US13119,24382
0500000US13121,36764
0500000US13123,23228
0500000US13125,25257
0500000US13127,26253
0500000US13129,26419
0500000US13131,25078
0500000US13133,22380
0500000US13135,31731
0500000US13137,26091
0500000US13139,27169
0500000US13141,17050
0500000US13143,29282
0500000US13145,32593
0500000US13147,25329
0500000US13149,28163
0500000US13151,32432
0500000US13153,31724
0500000US13155,24546
0500000US13157,31937
0500000US13159,26413
0500000US13161,27359
0500000US13163,23284
0500000US13165,23716
0500000US13167,24006
0500000US13169,32298
0500000US13171,26230
0500000US13173,27386
0500000US13175,26877
0500000US13177,36397
0500000US13179,28160
0500000US13181,26645
0500000US13183,31548
0500000US13185,22741
0500000US13187,21160
0500000US13189,25387
0500000US13191,30613
0500000US13193,19775
0500000US13195,30078
0500000US13197,27033
0500000US13199,25211
0500000US13201,25327
0500000US13205,22898
0500000US13207,31026
0500000US13209,23400
0500000US13211,28551
0500000US13213,26552
0500000US13215,25696
0500000US13217,30213
0500000US13219,36668
0500000US13221,27124
0500000US13223,34684
0500000US13225,25687
0500000US13227,30255
0500000US13229,28377
0500000US13231,30963
0500000US13233,26584
0500000US13235,25564
0500000US13237,22218
0500000US13239,19538
0500000US13241,24060
0500000US13243,23632
0500000US13245,24062
0500000US13247,31288
0500000US13249,28203
0500000US13251,26064
0500000US13253,26763
0500000US13255,26234
0500000US13257,24758
0500000US13259,20758
0500000US13261,22500
0500000US13263,25389
0500000US13265,20784
0500000US13267,25002
0500000US13269,21542
0500000US13271,25966
0500000US13273,23365
0500000US13275,25625
0500000US13277,25064
0500000US13279,25870
0500000US13281,17188
0500000US13283,26638
0500000US13285,26694
0500000US13287,23955
0500000US13289,32479
0500000US13291,23660
0500000US13293,25242
0500000US13295,27557
0500000US13297,30793
0500000US13299,23757
0500000US13301,24774
0500000US13303,25816
0500000US13305,26020
0500000US13307,26114
0500000US13309,26914
0500000US13311,25477
0500000US13313,26061
0500000US13315,27765
0500000US13317,22451
0500000US13319,26651
0500000US13321,24798
0500000US15001,29867
0500000US15003,35775
0500000US15005,50625
0500000US15007,32236
0500000US15009,32278
0500000US16001,31099
0500000US16003,23418
0500000US16005,22862
0500000US16007,22841
0500000US16009,25000
0500000US16011,24969
0500000US16013,30651
0500000US16015,29427
0500000US16017,24495
0500000US16019,25936
0500000US16021,25938
0500000US16023,24596
0500000US16025,24808
0500000US16027,23694
0500000US16029,30357
0500000US16031,24587
0500000US16033,20000
0500000US16035,23138
0500000US16037,24850
0500000US16039,26007
0500000US16041,25096
0500000US16043,22848
0500000US16045,19978
0500000US16047,26149
0500000US16049,21939
0500000US16051,25874
0500000US16053,23534
0500000US16055,26603
0500000US16057,18948
0500000US16059,22212
0500000US16061,22536
0500000US16063,25091
0500000US16065,10425
0500000US16067,25704
0500000US16069,28109
0500000US16071,23190
0500000US16073,21768
0500000US16075,25880
0500000US16077,24881
0500000US16079,24140
0500000US16081,31877
0500000US16083,23805
0500000US16085,23587
0500000US16087,22235
0500000US17001,30952
0500000US17003,20408
0500000US17005,24375
0500000US17007,31774
0500000US17009,30149
0500000US17011,30547
0500000US17013,30619
0500000US17015,28880
0500000US17017,27229
0500000US17019,25091
0500000US17021,28726
0500000US17023,28059
0500000US17025,30228
