FIPS,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
2290,0.265,0.236,0.1870229008
4000,0.2351218223,0.187,0.0689135024
4001,0.328,0.295,0.1596884588
4003,0.247,0.191,0.0843697281
4005,0.215,0.159,0.0715706318
4007,0.268,0.194,0.0841173992
4009,0.318,0.196,0.0764322375
4011,0.334,0.196,0.0651202383
4012,0.315,0.218,0.079515666
4013,0.222,0.153,0.0587435158
4015,0.281,0.193,0.0882461947
4017,0.309,0.215,0.112639146
4019,0.217,0.161,0.0616817451
4021,0.299,0.182,0.0723136272
4023,0.212,0.245,0.1315529667
4025,0.247,0.141,0.0634053793
4027,0.304,0.235,0.2330942071
5000,0.3334759331,0.225,0.0613022872
5001,0.34,0.211,0.0542460446
5003,0.398,0.241,0.0938606848
5005,0.29,0.182,0.0679161372
5007,0.284,0.171,0.0464139489
5009,0.292,0.187,0.0614905624
5011,0.371,0.299,0.0848896435
5013,0.35,0.22,0.0675733107
5015,0.362,0.218,0.0525890621
5017,0.392,0.302,0.1060724524
5019,0.318,0.224,0.0703166367
5021,0.327,0.211,0.0805178402
5023,0.312,0.191,0.0832726137
5025,0.367,0.184,0.0695373873
5027,0.381,0.248,0.0730067243
5029,0.391,0.218,0.0706354831
5031,0.364,0.215,0.054963168
5033,0.361,0.201,0.0609087126
5035,0.384,0.259,0.0727907855
5037,0.377,0.235,0.0658585354
5039,0.362,0.24,0.0947221251
5041,0.388,0.295,0.0828649139
5043,0.308,0.256,0.0863837872
5045,0.289,0.194,0.0567482024
5047,0.368,0.212,0.0578122834
5049,0.32,0.202,0.0598726115
5051,0.31,0.198,0.0640295675
5053,0.366,0.177,0.0555692459
5055,0.341,0.193,0.06498995
5057,0.412,0.292,0.0611496127
5059,0.325,0.194,0.0587174493
5061,0.373,0.263,0.0585693711
5063,0.34,0.212,0.0796280532
5065,0.33,0.211,0.0762239207
5067,0.401,0.239,0.0935404742
5069,0.39,0.258,0.0891591026
5071,0.347,0.235,0.0662739323
5073,0.34,0.262,0.0798939796
5075,0.333,0.212,0.074063483
5077,0.352,0.319,0.0787352759
5079,0.357,0.269,0.0731177606
5081,0.331,0.211,0.0664980123
5083,0.353,0.201,0.0608685994
5085,0.339,0.177,0.0519609671
5087,0.329,0.229,0.0488927236
5089,0.308,0.209,0.0646364201
5091,0.335,0.23,0.0602036532
5093,0.377,0.274,0.0930674264
5095,0.371,0.296,0.0681818182
5097,0.331,0.218,0.0809996989
5099,0.343,0.293,0.0611629183
5101,0.367,0.217,0.0601011604
5103,0.378,0.255,0.0805423454
5105,0.361,0.188,0.0768867925
5107,0.415,0.321,0.0959855535
5109,0.373,0.225,0.0747596154
5111,0.404,0.247,0.0691948774
5113,0.32,0.231,0.0642190863
5115,0.328,0.21,0.0636214217
5117,0.353,0.217,0.0594637643
5119,0.315,0.177,0.0559655159
5121,0.353,0.207,0.0805679889
5123,0.404,0.318,0.0891683662
5125,0.315,0.152,0.0494737822
5127,0.313,0.226,0.0518649305
5129,0.318,0.23,0.0653351388
5131,0.352,0.231,0.0575834024
5133,0.398,0.287,0.0699056274
5135,0.334,0.222,0.0869935308
5137,0.351,0.233,0.0795966531
5139,0.355,0.226,0.0755465983
5141,0.35,0.224,0.0817511376
5143,0.292,0.223,0.0442387971
5145,0.354,0.202,0.0721479959
5147,0.361,0.268,0.0784126984
5149,0.352,0.236,0.0564543122
6000,0.2254784462,0.181,0.0751818366
6001,0.2,0.13,0.0587702411
6003,0.237,0.156,0.0875763747
6005,0.266,0.127,0.0834774189
6007,0.252,0.152,0.0865350653
6009,0.253,0.118,0.0808095731
6011,0.237,0.208,0.1745875179
6013,0.229,0.138,0.0615949355
6015,0.272,0.172,0.101782691
6017,0.194,0.116,0.0699573184
6019,0.288,0.218,0.1161325285
6021,0.283,0.195,0.1065230865
6023,0.245,0.147,0.0678236203
6025,0.25,0.278,0.2361772108
6027,0.229,0.141,0.0697926843
6029,0.285,0.208,0.1043538163
6031,0.249,0.216,0.1205721952
6033,0.266,0.179,0.0886460839
6035,0.249,0.141,0.0927091044
6037,0.21,0.206,0.0825900643
6039,0.267,0.228,0.1104868321
6041,0.181,0.107,0.0426987312
6043,0.234,0.13,0.0879675197
6045,0.232,0.174,0.0691065819
6047,0.293,0.229,0.1280137972
6049,0.246,0.164,0.1049034175
6051,0.222,0.139,0.0721725279
6053,0.237,0.199,0.0906220714
6055,0.243,0.142,0.0557663997
6057,0.2,0.115,0.0658163904
6059,0.198,0.126,0.0548627004
6061,0.227,0.109,0.0626324558
6063,0.24,0.139,0.116953317
6065,0.255,0.181,0.0824888741
6067,0.266,0.159,0.0732642991
6069,0.239,0.176,0.0933930648
6071,0.287,0.206,0.0805081017
6073,0.202,0.143,0.064160873
6075,0.148,0.112,0.043757099
6077,0.294,0.185,0.1063907079
6079,0.218,0.131,0.0560397526
6081,0.201,0.116,0.0420564653
6083,0.19,0.168,0.0608080614
6085,0.195,0.114,0.0519826055
6087,0.206,0.143,0.0874244528
6089,0.272,0.145,0.0966497919
6091,0.238,0.131,0.1001381215
6093,0.229,0.165,0.1126604078
6095,0.295,0.155,0.0745486142
6097,0.216,0.133,0.0557764434
6099,0.324,0.202,0.1121782925
6101,0.28,0.167,0.127162299
6103,0.288,0.173,0.0967524752
6105,0.265,0.152,0.0993062438
6107,0.295,0.256,0.1322653564
6109,0.206,0.134,0.0872539052
6111,0.206,0.147,0.0667992131
6113,0.202,0.162,0.0767591037
6115,0.259,0.179,0.1121249778
8000,0.2005667749,0.131,0.0501835777
8001,0.258,0.158,0.0570750853
8003,0.228,0.2,0.0709182323
8005,0.21,0.116,0.0490149327
8007,0.162,0.116,0.0598156842
8009,0.206,0.127,0.0280326198
8011,0.244,0.165,0.0526001195
8013,0.133,0.101,0.0409352777
8014,0.182,0.086,0.0427597296
8015,0.191,0.104,0.0442300906
8017,0.245,0.105,0.0290581162
8019,0.169,0.09,0.0465492451
8021,0.215,0.212,0.0782584734
8023,0.214,0.219,0.0912453761
8025,0.226,0.206,0.0609291698
8027,0.207,0.128,0.0466399198
8029,0.215,0.138,0.0690533362
8031,0.17,0.152,0.0487466497
8033,0.211,0.14,0.0404669261
8035,0.169,0.072,0.0401499627
8037,0.107,0.108,0.0422126516
8039,0.189,0.088,0.04265112
8041,0.214,0.112,0.060401922
8043,0.23,0.136,0.0814152039
8045,0.177,0.131,0.0518647834
8047,0.188,0.098,0.0436964866
8049,0.174,0.095,0.0406312962
8051,0.16,0.112,0.0407365497
8053,0.21,0.098,0.0382882883
8055,0.208,0.171,0.1005334428
8057,0.209,0.121,0.0353773585
8059,0.186,0.093,0.0455275689
8061,0.21,0.118,0.0340760157
8063,0.265,0.15,0.0306425795
8065,0.189,0.14,0.04815058
8067,0.168,0.099,0.0423082028
8069,0.189,0.098,0.0427497969
8071,0.214,0.158,0.0763569457
8073,0.258,0.133,0.0405783582
8075,0.245,0.132,0.0379689755
8077,0.23,0.12,0.0616780785
8079,0.19,0.104,0.0515222482
8081,0.262,0.119,0.0573915409
8083,0.22,0.121,0.0611281567
8085,0.201,0.145,0.0683236219
8087,0.278,0.143,0.046035976
8089,0.271,0.188,0.0759540571
8091,0.172,0.094,0.0548009368
8093,0.199,0.094,0.0463618122
8095,0.229,0.141,0.0331858407
8097,0.137,0.087,0.0488667271
8099,0.268,0.181,0.0477260937
8101,0.263,0.175,0.0733600778
8103,0.227,0.114,0.0582261341
8105,0.23,0.171,0.0902920609
8107,0.141,0.09,0.041914511
8109,0.209,0.207,0.0863666446
8111,0.2,0.142,0.0528541226
8113,0.164,0.1,0.0473384803
8115,0.229,0.119,0.0458295142
8117,0.125,0.096,0.0337067562
8119,0.179,0.099,0.0585124531
8121,0.24,0.109,0.0321015304
8123,0.255,0.134,0.0450640986
8125,0.277,0.12,0.0333533054
9000,0.2466207037,0.139,0.0661540232
9001,0.208,0.118,0.0616951888
9003,0.265,0.129,0.0686781311
9005,0.229,0.093,0.0594176224
9007,0.236,0.092,0.0562824665
9009,0.263,0.126,0.0722487965
9011,0.267,0.109,0.0674224431
9013,0.24,0.094,0.0563020214
9015,0.289,0.123,0.0730169319
10000,0.2895702095,0.149,0.0572307025
10001,0.332,0.157,0.0635308816
10003,0.268,0.129,0.0554940644
10005,0.312,0.155,0.0574128992
11000,0.221,0.127,0.0778888748
11001,0.221,0.127,0.0778888748
12000,0.2545418017,0.182,0.0625986247
12001,0.253,0.164,0.0518354406
12003,0.371,0.145,0.0625384278
12005,0.302,0.143,0.0626018205
12007,0.372,0.156,0.0555861816
12009,0.265,0.128,0.0691950893
12011,0.236,0.157,0.0584167689
12013,0.407,0.188,0.0687841392
12015,0.262,0.132,0.0673104189
12017,0.271,0.154,0.0845650294
12019,0.285,0.123,0.0571559167
12021,0.188,0.164,0.0589581537
12023,0.374,0.163,0.0648170796
12027,0.355,0.242,0.0710168319
12029,0.326,0.163,0.0745418965
12031,0.295,0.166,0.0669612164
12033,0.305,0.159,0.0634542425
12035,0.246,0.144,0.074869535
12037,0.311,0.158,0.0549821358
12039,0.381,0.229,0.0799411734
12041,0.315,0.154,0.0654540033
12043,0.342,0.192,0.0718461248
12045,0.325,0.158,0.0600729117
12047,0.326,0.196,0.0784908933
12049,0.344,0.256,0.0770935723
12051,0.349,0.265,0.1057504006
12053,0.317,0.164,0.0786045057
12055,0.326,0.174,0.0816840492
12057,0.277,0.165,0.0583927528
12059,0.32,0.171,0.0682471264
12061,0.242,0.147,0.0782227381
12063,0.356,0.172,0.063906842
12065,0.336,0.172,0.0646793135
12067,0.368,0.186,0.0521201413
12069,0.3,0.14,0.0635840225
12071,0.255,0.158,0.05972826
12073,0.281,0.155,0.0552324811
12075,0.321,0.179,0.0689213894
12077,0.391,0.171,0.0645967166
12079,0.34,0.192,0.0740216272
12081,0.241,0.152,0.0573696992
12083,0.29,0.176,0.072800512
12085,0.194,0.133,0.0612094715
12086,0.195,0.227,0.0680118172
12087,0.214,0.141,0.0414687493
12089,0.281,0.124,0.0582791942
12091,0.253,0.141,0.0512569937
12093,0.309,0.224,0.072638689
12095,0.236,0.178,0.0579464394
12097,0.292,0.23,0.0668117232
12099,0.229,0.159,0.0589878008
12101,0.303,0.15,0.0670670811
12103,0.245,0.142,0.0581202342
12105,0.312,0.164,0.0710269079
12107,0.352,0.191,0.0870025776
12109,0.229,0.106,0.0471358849
12111,0.288,0.168,0.079817116
12113,0.259,0.131,0.0543772837
12115,0.211,0.118,0.0582507213
12117,0.245,0.146,0.0561665407
12119,0.284,0.129,0.0772274429
12121,0.331,0.181,0.0616952496
12123,0.387,0.161,0.0704705131
12125,0.391,0.167,0.0604651163
12127,0.275,0.159,0.0668701014
12129,0.363,0.125,0.0521519697
12131,0.272,0.152,0.0525600529
12133,0.388,0.161,0.067487785
13000,0.289649607,0.185,0.0719770279
13001,0.352,0.199,0.0894112225
13003,0.357,0.254,0.0774531422
13005,0.314,0.185,0.0696332921
13007,0.323,0.209,0.0886742757
13009,0.339,0.227,0.0890776435
13011,0.268,0.157,0.0664197531
13013,0.353,0.157,0.063258108
13015,0.343,0.165,0.0715801987
13017,0.361,0.245,0.1029516358
13019,0.34,0.204,0.0900837989
13021,0.306,0.224,0.0805843408
13023,0.3,0.18,0.1143726897
13025,0.346,0.167,0.0923897377
13027,0.354,0.208,0.0738821439
13029,0.283,0.139,0.0649224806
13031,0.346,0.218,0.0744349748
13033,0.323,0.238,0.1013564029
13035,0.313,0.165,0.0758810248
13037,0.347,0.309,0.0742296919
13039,0.315,0.156,0.0683072677
13043,0.322,0.234,0.0720934839
13045,0.298,0.181,0.0819186203
13047,0.265,0.131,0.0622102009
13049,0.307,0.173,0.0776699029
13051,0.288,0.168,0.0728263675
13053,0.28,0.178,0.0984691767
13055,0.356,0.193,0.0786109521
13057,0.255,0.129,0.0556415939
13059,0.251,0.229,0.0690784912
13061,0.311,0.34,0.1102620087
13063,0.395,0.207,0.0934870004
13065,0.303,0.221,0.0874238624
13067,0.224,0.139,0.0603647723
13069,0.323,0.225,0.0848425984
13071,0.368,0.234,0.0824175824
13073,0.29,0.125,0.0590747004
13075,0.287,0.207,0.0842787682
13077,0.27,0.137,0.0624359978
13079,0.284,0.175,0.0749162701
13081,0.301,0.234,0.0920634921
13083,0.322,0.143,0.0650162541
13085,0.288,0.134,0.0610228951
13087,0.309,0.232,0.0833114323
13089,0.265,0.163,0.0729867449
13091,0.312,0.194,0.1001724824
13093,0.341,0.25,0.0975295381
13095,0.37,0.263,0.0936194357
13097,0.339,0.184,0.0744879233
13099,0.306,0.215,0.0901428237
13101,0.292,0.216,0.0585980285
13103,0.337,0.136,0.062112274
13105,0.324,0.183,0.0873464373
13107,0.336,0.235,0.1071637256
13109,0.353,0.21,0.0655355249
13111,0.261,0.171,0.0775614754
13113,0.292,0.12,0.061965258
13115,0.285,0.181,0.0792784075
13117,0.261,0.121,0.0530179529
13119,0.266,0.179,0.0828363873
13121,0.224,0.149,0.0718874686
13123,0.265,0.171,0.0738936938
13125,0.305,0.156,0.0839874411
13127,0.277,0.169,0.075669601
13129,0.293,0.186,0.0743655699
13131,0.311,0.246,0.0740882917
13133,0.302,0.213,0.0829275954
13135,0.274,0.149,0.0614302584
13137,0.315,0.167,0.0698241153
13139,0.257,0.171,0.0592538324
13141,0.36,0.269,0.1194029851
13143,0.286,0.162,0.0779828004
13145,0.297,0.12,0.0610951009
13147,0.295,0.188,0.0776614311
13149,0.308,0.176,0.0792355166
13151,0.297,0.158,0.0727255214
13153,0.323,0.165,0.0688428288
13155,0.298,0.2,0.10056926
13157,0.286,0.145,0.0601186864
13159,0.306,0.196,0.0663398192
13161,0.304,0.193,0.0839444531
13163,0.384,0.254,0.1155354449
13165,0.323,0.244,0.1027667984
13167,0.344,0.187,0.0880407125
13169,0.327,0.15,0.0642437592
13171,0.33,0.175,0.0952686242
13173,0.32,0.202,0.0786868161
13175,0.354,0.221,0.0951451187
13177,0.322,0.138,0.0635949295
13179,0.338,0.204,0.0785332196
13181,0.332,0.189,0.0834305718
13183,0.297,0.177,0.073141306
13185,0.283,0.198,0.0727197624
13187,0.301,0.165,0.0656612223
13189,0.35,0.197,0.0988508312
13191,0.312,0.167,0.0817471108
13193,0.346,0.252,0.1234300563
13195,0.324,0.165,0.0646541663
13197,0.328,0.213,0.0766961652
13199,0.352,0.204,0.0979311896
13201,0.312,0.199,0.0633670791
13205,0.308,0.251,0.0795906765
13207,0.319,0.16,0.067080843
13209,0.373,0.202,0.1022959184
13211,0.283,0.157,0.0655952381
13213,0.289,0.19,0.0949696172
13215,0.321,0.19,0.0854140096
13217,0.337,0.177,0.0822612491
13219,0.309,0.113,0.0508464682
13221,0.298,0.147,0.0641139804
13223,0.284,0.138,0.0621316765
13225,0.348,0.213,0.0959526668
13227,0.25,0.139,0.0665366277
13229,0.296,0.176,0.0758895248
13231,0.284,0.143,0.0699351118
13233,0.291,0.186,0.0783500655
13235,0.318,0.183,0.0798258345
13237,0.324,0.175,0.092043489
13239,0.326,0.263,0.0864197531
13241,0.321,0.171,0.0834348356
13243,0.358,0.265,0.0965951147
13245,0.351,0.22,0.0866899052
13247,0.346,0.176,0.0789436353
13249,0.291,0.181,0.0772811918
13251,0.357,0.213,0.1003283473
13253,0.295,0.195,0.0954052329
13255,0.345,0.206,0.0949744926
13257,0.281,0.177,0.0760348197
13259,0.343,0.316,0.0793072015
13261,0.34,0.238,0.0958792632
13263,0.343,0.226,0.0790402258
13265,0.341,0.299,0.110367893
13267,0.353,0.226,0.0735601002
13269,0.305,0.218,0.104550191
13271,0.316,0.262,0.1015897635
13273,0.345,0.26,0.0818615083
13275,0.326,0.208,0.0856631238
13277,0.348,0.21,0.0737347536
13279,0.329,0.213,0.0990889301
13281,0.264,0.143,0.0892549791
13283,0.334,0.192,0.1075926592
13285,0.294,0.185,0.0745847956
13287,0.343,0.22,0.0793157076
13289,0.307,0.253,0.1138290933
13291,0.27,0.145,0.0651227026
13293,0.341,0.199,0.091876552
13295,0.331,0.163,0.0716464448
13297,0.306,0.14,0.0647284562
13299,0.355,0.209,0.0814189189
13301,0.343,0.23,0.0991553434
13303,0.345,0.225,0.0841755319
13305,0.323,0.191,0.0898714914
13307,0.32,0.213,0.0845624385
13309,0.338,0.219,0.121116377
13311,0.281,0.155,0.0631229236
13313,0.297,0.225,0.0792975105
13315,0.323,0.228,0.0942408377
13317,0.325,0.218,0.0939989379
13319,0.336,0.201,0.0875873186
13321,0.374,0.189,0.0783425414
15000,0.2211346715,0.141,0.0436292234
15001,0.235,0.167,0.0554805028
15003,0.219,0.126,0.0407491458
15005,0.238,0.163,
15007,0.207,0.131,0.0486381885
15009,0.224,0.126,0.0451602754
16000,0.2773321223,0.13,0.0481228449
16001,0.245,0.109,0.040992182
16003,0.294,0.151,0.0998796631
16005,0.282,0.14,0.0458240414
16007,0.292,0.124,0.0444211263
16009,0.286,0.145,0.0814100938
16011,0.35,0.147,0.0454586698
16013,0.192,0.125,0.0446233266
16015,0.236,0.129,0.0599659284
16017,0.256,0.123,0.0705700739
16019,0.307,0.143,0.0421341513
16021,0.273,0.141,0.0600409836
16023,0.286,0.139,0.0519480519
16025,0.264,0.185,0.0477707006
16027,0.32,0.179,0.0585924714
16029,0.277,0.118,0.0423156802
16031,0.308,0.155,0.0429072592
16033,0.328,0.283,0.0453514739
16035,0.292,0.127,0.0942122186
16037,0.273,0.134,0.0669811321
16039,0.296,0.147,0.0531286895
16041,0.283,0.131,0.0344503602
16043,0.269,0.133,0.039925852
16045,0.27,0.132,0.0585735157
16047,0.318,0.194,0.0401106501
16049,0.274,0.136,0.0752904725
16051,0.304,0.131,0.0401629328
16053,0.316,0.17,0.0405344407
16055,0.247,0.124,0.0564918851
16057,0.266,0.129,0.0412759939
16059,0.238,0.146,0.0768314473
16061,0.285,0.146,0.0423412204
16063,0.319,0.188,0.0571757483
16065,0.252,0.182,0.0329955971
16067,0.347,0.166,0.0458353394
16069,0.324,0.124,0.0406133647
16071,0.359,0.13,0.0393996248
16073,0.321,0.209,0.0326386158
16075,0.323,0.16,0.0557286893
16077,0.314,0.203,0.0483588073
16079,0.309,0.143,0.1004793864
16081,0.266,0.123,0.0393630345
16083,0.267,0.15,0.0433609306
16085,0.244,0.107,0.07478917
16087,0.315,0.171,0.0644806338
17000,0.2743817478,0.17,0.0705586531
17001,0.347,0.128,0.0538478041
17003,0.324,0.266,0.1054642721
17005,0.305,0.15,0.0650590304
17007,0.341,0.151,0.079076677
17009,0.315,0.135,0.042227885
17011,0.299,0.138,0.0736073892
17013,0.304,0.12,0.0829531315
17015,0.316,0.126,0.065035497
17017,0.288,0.151,0.0692403876
17019,0.266,0.159,0.0605264434
17021,0.334,0.135,0.0761844599
17023,0.331,0.13,0.0725948254
17025,0.315,0.144,0.0810433163
17027,0.278,0.119,0.0553662692
17029,0.277,0.167,0.0680568098
17031,0.249,0.166,0.073665776
17033,0.339,0.134,0.0663487877
17035,0.296,0.136,0.0608533061
17037,0.274,0.149,0.0656600738
17039,0.32,0.124,0.065563495
17041,0.308,0.135,0.059169796
17043,0.239,0.118,0.0564861592
17045,0.326,0.144,0.0718340611
17047,0.318,0.136,0.0681103737
17049,0.293,0.122,0.0556432733
17051,0.371,0.144,0.076552078
17053,0.296,0.128,0.0610721901
17055,0.305,0.16,0.093553078
17057,0.324,0.141,0.0863469103
17059,0.31,0.151,0.0746887967
17061,0.297,0.143,0.0692591997
17063,0.314,0.126,0.085129647
17065,0.293,0.145,0.0591893137
17067,0.291,0.132,0.0670365757
17069,0.327,0.166,0.0878378378
17071,0.324,0.119,0.0632
17073,0.307,0.13,0.0671771392
17075,0.326,0.142,0.0651982974
17077,0.312,0.204,0.0655607931
17079,0.31,0.115,0.0644003378
17081,0.333,0.156,0.0746404411
17083,0.317,0.115,0.0716218654
17085,0.291,0.116,0.0620415912
17087,0.306,0.148,0.0977498185
17089,0.257,0.157,0.0695938088
17091,0.338,0.159,0.0809868694
17093,0.354,0.119,0.0634283234
17095,0.252,0.16,0.069837755
17097,0.291,0.126,0.0651596217
17099,0.285,0.138,0.0826181385
17101,0.32,0.151,0.0757241814
17103,0.329,0.132,0.0648928552
17105,0.314,0.131,0.0644060082
17107,0.309,0.139,0.0648240055
17109,0.291,0.162,0.0693249388
17111,0.279,0.115,0.0638094895
17113,0.29,0.129,0.0553838709
17115,0.306,0.152,0.0867220407
17117,0.331,0.126,0.074431989
17119,0.329,0.141,0.0705772995
17121,0.359,0.148,0.0779991047
17123,0.323,0.125,0.0696388457
17125,0.331,0.142,0.0871531966
17127,0.343,0.151,0.0801574803
17129,0.309,0.118,0.0573295708
17131,0.307,0.116,0.0701691685
17133,0.329,0.097,0.0543239127
17135,0.29,0.142,0.0879264023
17137,0.312,0.141,0.0616314902
17139,0.307,0.141,0.0546587369
17141,0.286,0.131,0.0764198982
17143,0.286,0.154,0.077540107
17145,0.304,0.148,0.0863723608
17147,0.304,0.108,0.0577793662
17149,0.322,0.142,0.0578353424
17151,0.308,0.141,0.0816666667
17153,0.321,0.194,0.1035120148
17155,0.314,0.119,0.0784378077
17157,0.303,0.141,0.0674451522
17159,0.307,0.14,0.0676375858
17161,0.308,0.146,0.07057359
17163,0.322,0.171,0.07919824
17165,0.321,0.166,0.0814923458
17167,0.299,0.14,0.060066591
17169,0.307,0.133,0.0652358091
17171,0.314,0.131,0.0684558538
17173,0.324,0.131,0.0694430705
17175,0.32,0.122,0.0751853159
17177,0.288,0.155,0.0750505277
17179,0.29,0.122,0.0682492144
17181,0.313,0.149,0.0899903087
17183,0.373,0.162,0.0858233033
17185,0.326,0.132,0.060993163
17187,0.338,0.155,0.0592150562
17189,0.31,0.12,0.0487374573
17191,0.31,0.141,0.0668835394
17193,0.314,0.133,0.0604941778
17195,0.268,0.148,0.0709140499
17197,0.281,0.137,0.0742578691
17199,0.316,0.139,0.0735371122
17201,0.315,0.172,0.0833941913
17203,0.319,0.114,0.056022409
18000,0.3135813816,0.185,0.0603492226
18001,0.303,0.174,0.0472354449
18003,0.285,0.147,0.0578818436
18005,0.323,0.156,0.0445347913
18007,0.327,0.172,0.0548125411
18009,0.355,0.17,0.0745705116
18011,0.277,0.121,0.0449424057
18013,0.309,0.16,0.0603136309
18015,0.286,0.148,0.0527673081
18017,0.343,0.182,0.05810106
18019,0.311,0.177,0.0547430004
18021,0.325,0.158,0.0685787534
18023,0.3,0.166,0.0525652565
18025,0.345,0.169,0.0772208639
18027,0.333,0.17,0.0454815499
18029,0.3,0.153,0.0647569649
18031,0.299,0.158,0.0500912025
18033,0.311,0.161,0.0532290734
18035,0.317,0.185,0.0711320439
18037,0.276,0.136,0.0415399283
18039,0.325,0.183,0.051950214
18041,0.319,0.194,0.079899167
18043,0.306,0.14,0.0517149593
18045,0.306,0.153,0.0706468872
18047,0.257,0.153,0.0650931219
18049,0.373,0.18,0.0632242326
18051,0.321,0.146,0.0458328829
18053,0.352,0.185,0.0697980014
18055,0.324,0.161,0.0797795184
18057,0.251,0.109,0.0412152127
18059,0.348,0.132,0.0517494694
18061,0.347,0.157,0.0565978573
18063,0.297,0.128,0.0466808463
18065,0.32,0.178,0.068750871
18067,0.355,0.171,0.0636135745
18069,0.322,0.149,0.0583109198
18071,0.393,0.164,0.0505895063
18073,0.291,0.155,0.0682100298
18075,0.352,0.167,0.0580733765
18077,0.351,0.181,0.0603448276
18079,0.334,0.163,0.0682374541
18081,0.323,0.14,0.0503574181
18083,0.317,0.164,0.0530644733
18085,0.302,0.152,0.0493401469
18087,0.341,0.174,0.0454996144
18089,0.355,0.208,0.0805532743
18091,0.337,0.167,0.0772264683
18093,0.376,0.182,0.0819527928
18095,0.339,0.177,0.0714419587
18097,0.321,0.185,0.0647591421
18099,0.285,0.176,0.0558958976
18101,0.346,0.163,0.0535426731
18103,0.351,0.181,0.0677664975
18105,0.21,0.173,0.0580975182
18107,0.335,0.156,0.0553856062
18109,0.337,0.148,0.0583597106
18111,0.349,0.175,0.0702819957
18113,0.34,0.168,0.0530211219
18115,0.32,0.136,0.0689869484
18117,0.318,0.181,0.077337708
18119,0.324,0.167,0.080539699
18121,0.318,0.186,0.0699179974
18123,0.304,0.157,0.059298897
18125,0.34,0.152,0.0510314875
18127,0.306,0.138,0.0634386668
18129,0.317,0.132,0.0488156696
