GEO_ID,Unemployment
0500000US05109,3.1
0500000US05111,3.5
0500000US05113,4.2
0500000US05115,4.2
0500000US05117,3.7
0500000US05119,4.0
0500000US05121,2.1
0500000US05123,5.2
0500000US05125,3.0
0500000US05127,6.8
0500000US05129,2.0
0500000US05131,3.2
0500000US05133,4.2
0500000US05135,3.7
0500000US05137,3.7
0500000US05139,5.1
0500000US05141,5.4
0500000US05143,3.4
0500000US05145,3.5
0500000US05147,6.4
0500000US05149,3.8
0500000US06001,4.7
0500000US06003,5.7
0500000US06005,5.3
0500000US06007,5.9
0500000US06009,4.6
0500000US06011,5.4
0500000US06013,4.9
0500000US06015,4.7
0500000US06017,5.7
0500000US06019,7.2
0500000US06021,5.5
0500000US06023,5.6
0500000US06025,9.0
0500000US06027,3.7
0500000US06029,7.0
0500000US06031,6.1
0500000US06033,6.8
0500000US06035,3.5
0500000US06037,5.7
0500000US06039,4.2
0500000US06041,3.3
0500000US06043,5.2
0500000US06045,6.4
0500000US06047,9.3
0500000US06049,3.5
0500000US06051,5.8
0500000US06053,4.1
0500000US06055,4.3
0500000US06057,4.8
0500000US06059,4.4
0500000US06061,4.3
0500000US06063,6.1
0500000US06065,6.8
0500000US06067,6.4
0500000US06069,7.3
0500000US06071,6.5
0500000US06073,4.9
0500000US06075,4.3
0500000US06077,7.2
0500000US06079,3.2
0500000US06081,3.8
0500000US06083,4.6
0500000US06085,4.4
0500000US06087,4.7
0500000US06089,4.6
0500000US06091,2.0
0500000US06093,6.0
0500000US06095,6.2
0500000US06097,4.5
0500000US06099,8.4
0500000US06101,6.6
0500000US06103,6.7
0500000US06105,4.7
0500000US06107,6.2
0500000US06109,5.6
0500000US06111,4.9
0500000US06113,4.8
0500000US06115,6.9
0500000US08001,4.3
0500000US08003,4.8
0500000US08005,4.3
0500000US08007,4.0
0500000US08009,2.1
0500000US08011,2.3
0500000US08013,3.9
0500000US08014,3.2
0500000US08015,2.1
0500000US08017,6.2
0500000US08019,3.0
0500000US08021,5.3
0500000US08023,5.1
0500000US08025,11.6
0500000US08027,4.4
0500000US08029,4.6
0500000US08031,3.8
0500000US08033,1.9
0500000US08035,2.6
0500000US08037,2.4
0500000US08039,3.8
0500000US08041,4.6
0500000US08043,3.1
0500000US08045,4.5
0500000US08047,2.7
0500000US08049,4.3
0500000US08051,5.2
0500000US08053,3.0
0500000US08055,6.3
0500000US08057,1.2
0500000US08059,3.6
0500000US08061,2.6
0500000US08063,3.0
0500000US08065,4.4
0500000US08067,3.4
0500000US08069,4.1
0500000US08071,4.4
0500000US08073,1.3
0500000US08075,4.3
0500000US08077,5.5
0500000US08079,1.0
0500000US08081,3.0
0500000US08083,3.7
0500000US08085,4.9
0500000US08087,3.6
0500000US08089,5.6
0500000US08091,4.0
0500000US08093,2.8
0500000US08095,1.7
0500000US08097,4.2
0500000US08099,6.8
0500000US08101,5.5
0500000US08103,2.8
0500000US08105,5.5
0500000US08107,3.0
0500000US08109,4.1
0500000US08111,7.9
0500000US08113,3.2
0500000US08115,4.8
0500000US08117,3.3
0500000US08119,4.6
0500000US08121,2.3
0500000US08123,4.1
0500000US08125,1.4
0500000US09001,5.6
0500000US09003,5.5
0500000US09005,4.6
0500000US09007,3.6
0500000US09009,5.6
0500000US09011,5.0
0500000US09013,4.2
0500000US09015,5.6
0500000US10001,4.9
0500000US10003,4.5
0500000US10005,4.0
0500000US11001,6.0
0500000US12001,4.1
0500000US12003,3.5
0500000US12005,4.5
0500000US12007,4.9
0500000US12009,5.1
0500000US12011,5.8
0500000US12013,4.4
0500000US12015,4.3
0500000US12017,4.8
0500000US12019,5.5
0500000US12021,3.4
0500000US12023,6.1
0500000US12027,3.9
0500000US12029,2.1
0500000US12031,5.5
0500000US12033,4.7
0500000US12035,3.6
0500000US12037,4.4
0500000US12039,4.7
0500000US12041,4.8
0500000US12043,4.9
0500000US12045,4.1
0500000US12047,5.3
0500000US12049,5.8
0500000US12051,6.0
0500000US12053,5.2
0500000US12055,5.3
0500000US12057,5.1
0500000US12059,6.0
0500000US12061,5.1
0500000US12063,5.5
0500000US12065,3.7
0500000US12067,6.2
0500000US12069,4.3
0500000US12071,4.5
0500000US12073,6.3
0500000US12075,4.9
0500000US12077,4.0
0500000US12079,5.6
0500000US12081,4.0
0500000US12083,4.7
0500000US12085,4.4
0500000US12086,5.3
0500000US12087,3.1
0500000US12089,4.3
0500000US12091,3.8
0500000US12093,5.4
0500000US12095,5.4
0500000US12097,5.1
0500000US12099,4.9
0500000US12101,4.3
0500000US12103,4.3
0500000US12105,5.2
0500000US12107,5.5
0500000US12109,3.6
0500000US12111,5.4
0500000US12113,4.0
0500000US12115,3.5
0500000US12117,5.2
0500000US12119,1.9
0500000US12121,5.2
0500000US12123,3.1
0500000US12125,3.7
0500000US12127,4.0
0500000US12129,4.0
0500000US12131,4.1
0500000US12133,4.7
0500000US13001,4.5
0500000US13003,3.5
0500000US13005,2.8
0500000US13007,1.6
0500000US13009,4.0
0500000US13011,4.4
0500000US13013,5.5
0500000US13015,4.7
0500000US13017,3.5
0500000US13019,5.3
0500000US13021,6.4
0500000US13023,2.9
0500000US13025,4.7
0500000US13027,9.9
0500000US13029,6.0
0500000US13031,5.7
0500000US13033,3.9
0500000US13035,4.2
0500000US13037,5.2
0500000US13039,5.3
0500000US13043,3.9
0500000US13045,6.6
0500000US13047,4.6
0500000US13049,6.0
0500000US13051,5.8
0500000US13053,4.8
0500000US13055,5.0
0500000US13057,3.7
0500000US13059,5.1
0500000US13061,8.0
0500000US13063,8.1
0500000US13065,5.6
0500000US13067,4.8
0500000US13069,3.7
0500000US13071,4.4
0500000US13073,4.2
0500000US13075,3.0
0500000US13077,4.3
0500000US13079,5.1
0500000US13081,7.8
0500000US13083,3.5
0500000US13085,4.5
0500000US13087,3.3
0500000US13089,6.7
0500000US13091,5.4
0500000US13093,4.6
0500000US13095,9.9
0500000US13097,6.1
0500000US13099,3.9
0500000US13101,4.3
0500000US13103,3.9
0500000US13105,4.2
0500000US13107,6.0
0500000US13109,4.5
0500000US13111,4.5
0500000US13113,4.0
0500000US13115,5.4
0500000US13117,3.3
0500000US13119,3.9
0500000US13121,6.0
0500000US13123,4.2
0500000US13125,4.0
0500000US13127,4.8
0500000US13129,4.6
0500000US13131,4.9
0500000US13133,3.2
0500000US13135,4.7
0500000US13137,3.7
0500000US13139,3.6
0500000US13141,3.4
0500000US13143,5.8
0500000US13145,5.0
0500000US13147,2.8
0500000US13149,5.6
0500000US13151,5.8
0500000US13153,5.5
0500000US13155,3.2
0500000US13157,4.1
0500000US13159,5.1
0500000US13161,2.8
0500000US13163,6.5
0500000US13165,2.9
0500000US13167,5.0
0500000US13169,4.8
0500000US13171,6.8
0500000US13173,7.2
0500000US13175,2.9
0500000US13177,4.5
0500000US13179,7.3
0500000US13181,4.8
