,ONS ID,Constituency name,County name,Con2015,Lab2015,Firstparty2015,Con2017,Lab2017,Firstparty2017,Con2019,Lab2019,Firstparty2019,Leave
115,E14000620,Carlisle,Cumbria,44.3163406673398,37.80261582172963,Con,49.86993682645856,43.83361204013378,Con,55.183915284678,35.78009469829496,Con,60.6
116,W07000067,Carmarthen East and Dinefwr,Dyfed,21.15789740856367,24.2163506687987,PC,26.26922420726803,29.781374149991468,PC,34.461733573972005,21.02824252475489,PC,53.2
117,W07000066,Carmarthen West and South Pembrokeshire,Dyfed,43.682775712515486,28.679058240396532,Con,46.82186330696727,39.45673281864254,Con,52.67369520824429,34.283136249228285,Con,55.2
118,E14000621,Carshalton and Wallington,London,31.699325814378426,15.016907147207695,LD,38.322857762102736,18.442259570862806,LD,42.4090594321561,12.38543321520225,Con,56.3
119,E14000622,Castle Point,Essex,50.851485148514854,13.823982398239822,Con,67.2690673227466,25.059270856631628,Con,76.72380694265645,16.570680037039544,Con,72.7
120,S14000010,Central Ayrshire,Scotland,17.337613739315398,26.411155315712765,SNP,34.38685208596713,26.08734224942888,SNP,34.774573430180084,14.14664546353204,SNP,41.6
121,E14000623,Central Devon,Devon,52.2259770790479,12.828754040552454,Con,54.073023995574296,26.965631699052622,Con,55.267598842815815,24.752031960325112,Con,50.9
122,E14000624,Central Suffolk and North Ipswich,Suffolk,56.05021353694837,18.807890698663314,Con,60.13728681621966,29.734272167574836,Con,62.672000000000004,21.088,Con,54.9
123,W07000064,Ceredigion,Dyfed,11.019350010690614,9.661642078255293,LD,18.374531646842858,20.1599316015792,PC,22.139384116693677,15.751153222790176,PC,45.4
124,E14000625,Charnwood,Leicestershire,54.312010868525284,21.91500353992461,Con,60.38494997825141,30.768812527185734,Con,63.43538336494176,22.98202835726542,Con,57.9
125,E14000626,Chatham and Aylesford,Kent,50.1799271005038,23.585540826039512,Con,56.999331699710396,33.702383604366226,Con,66.58052607291187,23.802491924319334,Con,63.9
126,E14000627,Cheadle,Greater Manchester,43.10952067049628,16.33487145682268,Con,44.585135234186026,19.088543575459944,Con,45.96175518308498,12.25515625279502,Con,42.7
127,E14000628,Chelmsford,Essex,51.53018562907632,17.618967984094244,Con,53.684488216672534,29.815335912768205,Con,55.904905290431,18.022828332341305,Con,50.7
128,E14000629,Chelsea and Fulham,London,62.94933625018645,23.1193755282653,Con,52.64669578427649,33.21069122673756,Con,49.86010550821213,23.220349843019157,Con,29.1
129,E14000630,Cheltenham,Gloucestershire,46.13380478273007,7.261561365962595,Con,46.683154423630114,9.485722304076335,Con,47.99096989403103,4.921070808834678,Con,42.9
