ball,REPUBLICAN_2012,REPUBLICAN_2016,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus,Under18,18to24,25to34,35to49,50to64,Over65,White,Rural,lessthan50K,50to75k,75to100k,morethan100k,manu_arg,Poverty,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
10,49.65915486226994,46.34028669261941,9.561373390557941,24.458369098712446,21.263948497854077,8.562660944206009,36.151072961373394,23.776824034334766,9.547210300429185,13.643347639484979,20.096137339055794,19.585407725321886,13.34763948497854,73.89270386266094,9.426424095879247,36.9862660944206,17.916738197424895,13.531330472103004,31.56824034334764,10.289270386266095,11.048068669527897,26.375536480686694,13.58540772532189,5.399591733991416
11,32.17308784382878,35.58455667080342,21.48181818181818,35.80727272727273,20.661818181818184,7.889090909090909,14.181818181818182,26.48181818181818,10.423636363636362,12.001818181818182,16.934545454545454,19.547272727272727,14.623636363636363,31.347272727272724,98.70575229798138,69.2690909090909,14.538181818181819,7.585454545454545,8.610909090909091,18.85090909090909,33.47818181818182,38.947272727272725,27.66,10.438252853454545
12,61.89292963491865,65.23862447092435,18.179891304347827,35.23478260869565,22.481521739130436,7.820108695652174,16.27934782608696,23.14782608695652,8.930434782608696,11.666304347826086,17.900543478260868,20.469021739130437,17.88586956521739,75.57336956521739,47.22206041399023,60.25978260869565,17.504891304347826,10.026630434782609,12.220108695652174,18.639673913043477,20.884239130434782,32.419021739130436,20.50978260869565,7.4013971935869565
13,55.69526314793762,55.64672895229963,18.97361111111111,30.15694444444445,23.23888888888889,7.9541666666666675,19.68263888888889,25.459722222222222,10.254166666666666,13.776388888888889,18.324305555555554,18.13611111111111,14.052777777777777,70.63333333333334,15.554965904757072,54.11597222222222,18.286805555555556,11.500694444444443,16.1,15.720833333333335,19.11875,30.87083333333333,20.200000000000003,6.958520587361111
14,47.847440576039915,49.403715995143195,18.807207207207206,33.99369369369369,21.864864864864863,7.721621621621622,17.618018018018017,24.52972972972973,9.9990990990991,13.002702702702702,18.07837837837838,19.56756756756757,14.838738738738737,50.76126126126126,35.14286925346682,61.42972972972973,16.329729729729728,9.602702702702704,12.636936936936937,16.863963963963965,24.68198198198198,35.435135135135134,23.08108108108108,8.563721907027027
15,61.412811748750286,64.16959026971472,12.038167938931299,33.0412213740458,23.1793893129771,8.547328244274809,23.193129770992368,21.008396946564886,7.6725190839694655,10.163358778625955,17.832824427480915,23.32595419847328,19.99618320610687,85.72977099236641,96.71197607817334,47.121374045801524,19.508396946564886,13.13587786259542,20.231297709923666,13.67175572519084,12.987022900763359,29.200763358778627,14.366412213740459,5.6528453361068705
16,65.55431553035898,66.0665630959113,25.04705882352941,30.011764705882353,22.06764705882353,7.811764705882354,15.076470588235296,27.8,9.641176470588235,13.102941176470589,17.970588235294116,18.01764705882353,13.458823529411765,69.9735294117647,43.06523466881402,50.932352941176475,20.805882352941175,12.144117647058822,16.11176470588235,30.835294117647063,16.920588235294115,30.747058823529414,19.370588235294118,6.128890151764706
17,46.145286168517906,40.45798390140929,6.9012658227848105,19.036708860759497,18.008860759493672,7.4848101265822775,48.55949367088608,23.20379746835443,8.489873417721519,13.169620253164558,21.083544303797467,20.46075949367089,13.581012658227849,76.92278481012657,8.365251218376947,28.58101265822785,15.883544303797468,13.249367088607595,42.28481012658228,9.020253164556962,7.806329113924051,22.87848101265823,11.163291139240506,4.756790049620252
18,66.0538230424667,71.42611064351561,11.406837606837607,35.92492877492877,23.68176638176638,9.53076923076923,19.45897435897436,21.453846153846154,7.1878917378917375,9.966809116809117,16.753276353276352,23.206695156695158,21.43076923076923,93.84957264957264,97.82228248177871,52.45284900284901,19.675641025641024,12.262535612535611,15.61039886039886,21.92792022792023,13.357264957264956,30.127207977207977,13.995156695156696,5.320068774700855
19,55.567594342271946,54.20753304804474,14.99140625,28.5359375,22.91796875,8.34375,25.2109375,25.5828125,9.53046875,13.521875,19.6984375,18.9484375,12.71484375,68.5828125,18.793231788321137,41.81328125,18.8984375,13.559375,25.7234375,14.76171875,13.4515625,29.26953125,16.40703125,6.204757153828125
